time,battPow
0.936, 0
2.986, 0
5.036, 0
7.086, 0
9.136, 0
11.186, 0
13.236, 0
15.286, 0
17.336, 0
19.386, 0
21.436, 0
23.486, 0
25.536, 0
27.586, 0
29.636, 0
31.686, 0
33.736, 0
35.786, 0
37.836, 0
39.886, 0
41.936, 0
43.986, 0
46.036, 0
48.086, 0
50.136, 0
52.186, 0
53.886, 2694999.75
53.986, 6859999.5
54.086, 7472499.5
54.186, 7839999.5
54.286, 7104999.5
54.386, 9064999
54.486, 8207499.5
54.636, 9554999
54.736, 9424799
54.836, 9669599
54.936, 9677499
55.086, 10648799
55.186, 11015999
55.286, 11505599
55.386, 11995199
55.486, 12239999
55.586, 11995199
55.736, 12729599
55.836, 12607199
55.936, 12729599
56.136, 12117599
56.286, 12239999
56.386, 11872799
56.586, 12239999
56.686, 12607199
56.886, 13575299
56.986, 16143599
57.136, 20040798
57.236, 24419998
57.336, 29401998
57.436, 32912998
57.586, 35229096
57.686, 37179496
57.786, 39584996
57.886, 41411996
57.986, 42960096
58.086, 45150696
58.236, 47788796
58.336, 49936496
58.436, 52930396
58.536, 59315696
58.736, 66847196
58.836, 74232592
58.936, 91459496
59.086, 102169992
59.186, 109771392
59.286, 115295992
59.386, 95552792
59.486, 83300096
59.586, 71507992
59.736, 57664996
59.836, 49207496
59.936, 44991996
60.036, 42351596
60.136, 34863396
60.286, 20162998
60.386, 11750399
60.486, 8200799.5
60.586, 7221599.5
60.686, 8920599
60.786, 30739498
60.886, 58394696
60.986, 76282392
61.136, 91187392
61.236, 97565392
61.336, 64014196
61.436, 32260798
61.536, 16143599
61.636, 9669599
61.786, 8194099.5
61.886, 23731498
61.986, 51346396
62.086, 70063992
62.186, 81404992
62.286, 90254496
62.386, 79925992
62.536, 46359996
62.636, 22851398
62.736, 12229999
62.836, 8438699
63.036, 11843699
63.136, 44164996
63.236, 82508696
63.386, 113859192
63.486, 133735288
63.586, 141609584
63.686, 128239792
63.786, 74419192
63.886, 36019496
63.986, 17352398
64.136, 7827199.5
64.236, 26343798
64.386, 86423392
64.536, 125159992
64.636, 145893984
64.786, 151469984
64.886, 127006992
64.986, 69368992
65.086, 32722798
65.186, 15763799
65.286, 9531599
65.386, 29330398
65.636, 87141592
65.736, 122043896
65.836, 136845888
65.936, 145426688
66.036, 100391896
66.186, 49735196
66.286, 12586599
66.386, 8553999
66.486, 7331999.5
66.686, 6965399.5
66.786, 6726499.5
66.886, 7942999.5
66.986, 13419999
67.086, 17323998
67.186, 32683498
67.286, 27205998
67.386, 16130399
67.486, 9906299
67.586, 7582599.5
67.736, 6971099.5
67.836, 6848799.5
67.936, 6726499.5
68.186, 12565999
