time,dcBusVoltage
0.405, 122.5999985
0.509, 122.5
0.618, 122.5
0.725, 122.5
0.834, 122.5999985
0.941, 122.5999985
1.047, 122.5
1.159, 122.5999985
1.268, 122.5999985
1.378, 122.5999985
1.487, 122.5999985
1.596, 122.5999985
1.703, 122.5999985
1.812, 122.5999985
1.921, 122.5999985
2.03, 122.5
2.137, 122.5
2.246, 122.5999985
2.355, 122.5999985
2.465, 122.5999985
2.571, 122.5999985
2.675, 122.5
2.784, 122.5
2.891, 122.5999985
3, 122.5999985
3.109, 122.5
3.218, 122.5999985
3.328, 122.5
3.434, 122.5
3.541, 122.5999985
3.647, 122.5
3.756, 122.5999985
3.866, 122.5
3.972, 122.5
4.082, 122.5
4.191, 122.5999985
4.297, 122.5
4.404, 122.5999985
4.51, 122.5999985
4.62, 122.5
4.729, 122.5999985
4.835, 122.5999985
4.945, 122.5
5.054, 122.5
5.163, 122.5999985
5.272, 122.5999985
5.382, 122.5
5.488, 122.5999985
5.597, 122.5
5.707, 122.5
5.813, 122.5
5.925, 122.5
6.032, 122.5
6.141, 122.5
6.25, 122.5999985
6.357, 122.5999985
6.463, 122.5999985
6.57, 122.5
6.676, 122.5
6.785, 122.5999985
6.895, 122.5
7.004, 122.5999985
7.113, 122.5999985
7.223, 122.5
7.326, 122.5
7.436, 122.5
7.542, 122.5
7.651, 122.5
7.758, 122.5999985
7.865, 122.5999985
7.976, 122.5999985
8.086, 122.5999985
8.192, 122.5
8.299, 122.5
8.408, 122.5999985
8.512, 122.5
8.621, 122.5
8.73, 122.5999985
8.837, 122.5
8.943, 122.5999985
9.053, 122.5999985
9.162, 122.5999985
9.268, 122.5999985
9.375, 122.5
9.484, 122.5999985
9.593, 122.5
9.7, 122.5
9.806, 122.5
9.913, 122.5
10.022, 122.5
10.129, 122.5999985
10.238, 122.5
10.347, 122.5999985
10.456, 122.5999985
10.563, 122.5
10.667, 122.5
10.776, 122.5
10.88, 122.5
10.986, 122.5
11.093, 122.5999985
11.199, 122.5999985
11.308, 122.5999985
11.415, 122.5
11.522, 122.5
11.631, 122.5
11.74, 122.5999985
11.849, 122.5
11.958, 122.5999985
12.062, 122.5999985
12.172, 122.5
12.278, 122.5
12.387, 122.5
12.494, 122.5
12.601, 122.5999985
12.712, 122.5999985
12.822, 122.5
