time,pitchRate
0.2, 0.6684570312
0.22, 0.6674804688
0.24, 0.6674804688
0.26, 0.6674804688
0.28, 0.6704101562
0.3, 0.67578125
0.32, 0.6801757812
0.34, 0.68359375
0.36, 0.6845703125
0.38, 0.6791992188
0.4, 0.6704101562
0.42, 0.6611328125
0.44, 0.6538085938
0.46, 0.6528320312
0.48, 0.6572265625
0.5, 0.6606445312
0.52, 0.6577148438
0.54, 0.6499023438
0.56, 0.6474609375
0.58, 0.6547851562
0.6, 0.6616210938
0.62, 0.6591796875
0.64, 0.6494140625
0.66, 0.6420898438
0.68, 0.6381835938
0.7, 0.6372070312
0.72, 0.6420898438
0.74, 0.6518554688
0.76, 0.6611328125
0.78, 0.669921875
0.8, 0.67578125
0.82, 0.677734375
0.84, 0.6782226562
0.86, 0.6723632812
0.88, 0.6577148438
0.9, 0.6455078125
0.92, 0.6430664062
0.94, 0.646484375
0.96, 0.6474609375
0.98, 0.6479492188
1, 0.6499023438
1.02, 0.6484375
1.04, 0.6391601562
1.06, 0.6264648438
1.08, 0.62109375
1.1, 0.6264648438
1.12, 0.6391601562
1.14, 0.6479492188
1.16, 0.6474609375
1.18, 0.642578125
1.2, 0.6396484375
1.22, 0.6372070312
1.24, 0.6298828125
1.26, 0.619140625
1.28, 0.61328125
1.3, 0.6142578125
1.32, 0.6176757812
1.34, 0.6225585938
1.36, 0.630859375
1.38, 0.63671875
1.41, 0.6342773438
1.43, 0.625
1.45, 0.6186523438
1.47, 0.6181640625
1.49, 0.619140625
1.51, 0.6206054688
1.53, 0.6240234375
1.55, 0.6254882812
1.57, 0.6235351562
1.59, 0.6245117188
1.61, 0.6293945312
1.63, 0.6381835938
1.65, 0.6518554688
1.67, 0.666015625
1.69, 0.6752929688
1.71, 0.6748046875
1.73, 0.6655273438
1.75, 0.6518554688
1.77, 0.6401367188
1.79, 0.6372070312
1.81, 0.638671875
1.83, 0.6416015625
1.85, 0.6484375
1.87, 0.6567382812
1.89, 0.662109375
1.91, 0.6635742188
1.93, 0.6645507812
1.95, 0.6674804688
1.97, 0.6728515625
1.99, 0.6767578125
2.01, 0.6713867188
2.03, 0.66015625
2.05, 0.6499023438
2.07, 0.6459960938
2.09, 0.646484375
2.11, 0.646484375
2.13, 0.6479492188
2.15, 0.6518554688
2.17, 0.654296875
2.19, 0.6528320312
2.21, 0.6455078125
2.23, 0.6401367188
2.25, 0.6435546875
2.27, 0.6518554688
2.29, 0.6572265625
2.31, 0.6567382812
2.33, 0.6518554688
2.35, 0.6494140625
2.37, 0.6499023438
2.39, 0.654296875
2.41, 0.6616210938
2.43, 0.6708984375
2.45, 0.6787109375
2.47, 0.681640625
2.49, 0.6782226562
2.51, 0.673828125
2.53, 0.6748046875
2.55, 0.6767578125
2.57, 0.6762695312
2.59, 0.6728515625
2.615, 0.6694335938
2.635, 0.6694335938
2.655, 0.6733398438
2.675, 0.6767578125
2.695, 0.6752929688
2.715, 0.6708984375
2.735, 0.6669921875
2.755, 0.6630859375
2.775, 0.6567382812
2.795, 0.6508789062
2.81, 0.6484375
2.83, 0.6479492188
2.85, 0.6479492188
2.87, 0.6513671875
2.89, 0.654296875
2.91, 0.6508789062
2.93, 0.6459960938
2.95, 0.6455078125
2.97, 0.6489257812
2.99, 0.654296875
3.01, 0.6625976562
3.03, 0.6728515625
3.05, 0.6796875
3.07, 0.681640625
3.09, 0.685546875
3.11, 0.693359375
3.13, 0.6987304688
3.15, 0.6958007812
3.17, 0.6904296875
3.19, 0.6884765625
3.21, 0.6884765625
3.23, 0.6899414062
3.25, 0.6977539062
3.27, 0.7099609375
3.29, 0.71875
3.31, 0.7211914062
3.33, 0.7182617188
3.35, 0.7119140625
3.37, 0.7080078125
3.39, 0.7060546875
3.414, 0.703125
3.434, 0.7016601562
3.454, 0.7021484375
3.474, 0.7016601562
3.494, 0.6982421875
3.514, 0.6967773438
3.534, 0.6987304688
3.554, 0.7036132812
3.574, 0.7109375
3.594, 0.7163085938
3.61, 0.7172851562
3.63, 0.7084960938
3.65, 0.69140625
3.67, 0.6782226562
3.69, 0.6782226562
3.71, 0.689453125
3.73, 0.701171875
3.75, 0.70703125
3.77, 0.7075195312
3.79, 0.7036132812
3.81, 0.6962890625
3.83, 0.6889648438
3.85, 0.6845703125
3.87, 0.6845703125
3.89, 0.6860351562
3.91, 0.6806640625
3.93, 0.6650390625
3.95, 0.6474609375
3.97, 0.63671875
3.99, 0.6323242188
4.01, 0.6337890625
4.03, 0.6401367188
4.05, 0.6494140625
4.07, 0.65625
4.09, 0.6572265625
4.11, 0.6567382812
4.13, 0.6586914062
4.15, 0.6650390625
4.17, 0.6728515625
4.19, 0.6733398438
4.21, 0.66796875
4.23, 0.66796875
4.25, 0.6748046875
4.27, 0.6811523438
4.29, 0.68359375
4.31, 0.6904296875
4.33, 0.7045898438
4.35, 0.7202148438
4.37, 0.7250976562
4.39, 0.7158203125
4.412, 0.69921875
4.432, 0.6826171875
4.452, 0.67578125
4.472, 0.6772460938
4.492, 0.6806640625
4.512, 0.6821289062
4.532, 0.6840820312
4.552, 0.6865234375
4.572, 0.6875
4.592, 0.6860351562
4.62, 0.68359375
4.64, 0.6821289062
4.66, 0.685546875
4.68, 0.6958007812
4.7, 0.7041015625
4.72, 0.7021484375
4.74, 0.6938476562
4.76, 0.6850585938
4.78, 0.673828125
4.8, 0.6616210938
4.821, 0.6533203125
4.841, 0.6538085938
4.861, 0.6625976562
4.881, 0.6694335938
4.901, 0.66796875
4.921, 0.662109375
4.941, 0.6586914062
4.961, 0.6577148438
4.981, 0.6586914062
5.001, 0.662109375
5.026, 0.6665039062
5.046, 0.66796875
5.066, 0.66796875
5.086, 0.66796875
5.106, 0.6645507812
5.126, 0.6577148438
5.146, 0.6547851562
5.166, 0.662109375
5.186, 0.6772460938
5.206, 0.6884765625
5.222, 0.693359375
5.242, 0.6977539062
5.262, 0.7036132812
5.282, 0.7075195312
5.302, 0.7075195312
5.322, 0.7021484375
5.342, 0.6953125
5.362, 0.6875
5.382, 0.6767578125
5.402, 0.6674804688
5.421, 0.6640625
5.441, 0.6611328125
5.461, 0.6552734375
5.481, 0.650390625
5.501, 0.6489257812
5.521, 0.6513671875
5.541, 0.6606445312
5.561, 0.6762695312
5.581, 0.6899414062
5.601, 0.6987304688
5.621, 0.7016601562
5.641, 0.6948242188
5.661, 0.6791992188
5.681, 0.6669921875
5.701, 0.6713867188
5.721, 0.6831054688
5.741, 0.7016601562
5.761, 0.7280273438
5.781, 0.740234375
5.801, 0.734375
5.821, 0.708984375
5.841, 0.6762695312
5.861, 0.6533203125
5.881, 0.6430664062
5.901, 0.6435546875
5.921, 0.6528320312
5.941, 0.6625976562
5.961, 0.671875
5.981, 0.6909179688
6.001, 0.7104492188
6.02, 0.7221679688
6.04, 0.7250976562
6.06, 0.7158203125
6.08, 0.6987304688
6.1, 0.6909179688
6.12, 0.693359375
6.14, 0.693359375
6.16, 0.69140625
6.18, 0.6909179688
6.2, 0.6884765625
6.22, 0.6870117188
6.24, 0.6909179688
6.26, 0.6967773438
6.28, 0.701171875
6.3, 0.7036132812
6.32, 0.6997070312
6.34, 0.6879882812
6.36, 0.6796875
6.38, 0.6801757812
6.4, 0.6850585938
6.421, 0.6923828125
6.441, 0.6948242188
6.461, 0.6850585938
6.481, 0.6713867188
6.501, 0.6630859375
6.521, 0.6596679688
6.541, 0.65625
6.561, 0.6489257812
6.581, 0.6450195312
6.601, 0.650390625
6.622, 0.66015625
6.642, 0.6708984375
6.662, 0.6796875
6.682, 0.6762695312
6.702, 0.6674804688
6.722, 0.66796875
6.742, 0.6826171875
6.762, 0.7026367188
6.782, 0.7172851562
6.802, 0.7202148438
6.82, 0.7138671875
6.84, 0.7065429688
6.86, 0.7055664062
6.88, 0.712890625
6.9, 0.7172851562
6.92, 0.7124023438
6.94, 0.703125
6.96, 0.6943359375
6.98, 0.689453125
7, 0.6918945312
7.02, 0.6977539062
7.04, 0.7001953125
7.06, 0.6958007812
7.08, 0.6870117188
7.1, 0.6796875
7.12, 0.673828125
7.14, 0.6684570312
7.16, 0.6689453125
7.18, 0.6801757812
7.2, 0.6938476562
7.22, 0.7060546875
7.24, 0.7172851562
7.26, 0.7231445312
7.28, 0.72265625
7.3, 0.720703125
7.32, 0.7143554688
7.34, 0.7001953125
7.36, 0.6831054688
7.38, 0.6713867188
7.4, 0.6708984375
7.421, 0.6801757812
7.441, 0.6918945312
7.461, 0.6967773438
7.481, 0.69140625
7.501, 0.681640625
7.521, 0.6772460938
7.541, 0.677734375
7.561, 0.677734375
7.581, 0.6772460938
7.601, 0.6796875
7.62, 0.6811523438
7.64, 0.6801757812
7.66, 0.6826171875
7.68, 0.6875
7.7, 0.6899414062
7.72, 0.6865234375
7.74, 0.6801757812
7.76, 0.67578125
7.78, 0.6713867188
7.8, 0.6650390625
7.82, 0.6596679688
7.84, 0.6572265625
7.86, 0.6591796875
7.88, 0.6616210938
7.9, 0.6616210938
7.92, 0.6586914062
7.94, 0.6538085938
7.96, 0.6489257812
7.98, 0.6459960938
8, 0.6420898438
8.021, 0.6420898438
8.041, 0.6508789062
8.061, 0.666015625
8.081, 0.67578125
8.101, 0.6796875
8.121, 0.6796875
8.141, 0.6767578125
8.161, 0.6723632812
8.181, 0.6743164062
8.201, 0.6845703125
8.227, 0.6948242188
8.247, 0.7001953125
8.267, 0.6977539062
8.287, 0.6884765625
8.307, 0.6840820312
8.327, 0.693359375
8.347, 0.7094726562
8.367, 0.7231445312
8.387, 0.7260742188
8.407, 0.7182617188
8.42, 0.7036132812
8.44, 0.6850585938
8.46, 0.6635742188
8.48, 0.6479492188
8.5, 0.640625
8.52, 0.6411132812
8.54, 0.6494140625
8.56, 0.6645507812
8.58, 0.6796875
8.6, 0.6826171875
8.621, 0.677734375
8.641, 0.6689453125
8.661, 0.66015625
8.681, 0.6591796875
8.701, 0.6669921875
8.721, 0.6762695312
8.741, 0.6811523438
8.761, 0.681640625
8.781, 0.6826171875
8.801, 0.6831054688
8.821, 0.681640625
8.841, 0.6772460938
8.861, 0.6689453125
8.881, 0.6616210938
8.901, 0.6625976562
8.921, 0.6728515625
8.941, 0.6811523438
8.961, 0.6831054688
8.981, 0.6845703125
9.001, 0.6899414062
9.021, 0.6987304688
9.041, 0.7080078125
9.061, 0.7065429688
9.081, 0.6923828125
9.101, 0.6762695312
9.121, 0.669921875
9.141, 0.669921875
9.161, 0.6694335938
9.181, 0.6684570312
9.201, 0.6669921875
9.221, 0.6674804688
9.241, 0.6713867188
9.261, 0.681640625
9.281, 0.69140625
9.301, 0.693359375
9.321, 0.6865234375
9.341, 0.6762695312
9.361, 0.6728515625
9.381, 0.6787109375
9.401, 0.689453125
9.421, 0.7006835938
9.441, 0.70703125
9.461, 0.7065429688
9.481, 0.7016601562
9.501, 0.6977539062
9.521, 0.6889648438
9.541, 0.6733398438
9.561, 0.6645507812
9.581, 0.6655273438
9.601, 0.671875
9.626, 0.6806640625
9.646, 0.6889648438
9.666, 0.6928710938
9.686, 0.6918945312
9.706, 0.6879882812
9.726, 0.6821289062
9.746, 0.67578125
9.766, 0.6674804688
9.786, 0.6586914062
9.806, 0.6552734375
9.821, 0.6635742188
9.841, 0.6782226562
9.861, 0.693359375
9.881, 0.7016601562
9.901, 0.69921875
9.921, 0.6928710938
9.941, 0.6845703125
9.961, 0.6748046875
9.981, 0.6723632812
10.001, 0.6791992188
10.021, 0.6889648438
10.041, 0.693359375
10.061, 0.6884765625
10.081, 0.677734375
10.101, 0.6704101562
10.121, 0.6645507812
10.141, 0.6611328125
10.161, 0.67578125
10.181, 0.6948242188
10.201, 0.7084960938
10.221, 0.712890625
10.241, 0.7094726562
10.261, 0.7036132812
10.281, 0.6948242188
10.301, 0.6865234375
10.321, 0.6801757812
10.341, 0.6767578125
10.361, 0.67578125
10.381, 0.6806640625
10.401, 0.6889648438
10.421, 0.689453125
10.441, 0.69140625
10.461, 0.6918945312
10.481, 0.6860351562
10.501, 0.6826171875
10.521, 0.6791992188
10.541, 0.6772460938
10.561, 0.677734375
10.581, 0.6796875
10.601, 0.6801757812
10.621, 0.677734375
10.641, 0.6772460938
10.661, 0.6811523438
10.681, 0.689453125
10.701, 0.6967773438
10.721, 0.69921875
10.741, 0.6982421875
10.761, 0.6943359375
10.781, 0.6909179688
10.801, 0.6879882812
10.821, 0.68359375
10.841, 0.67578125
10.861, 0.6669921875
10.881, 0.666015625
10.901, 0.67578125
10.921, 0.6904296875
10.941, 0.69921875
10.961, 0.6938476562
10.981, 0.6782226562
11.001, 0.669921875
11.022, 0.6708984375
11.042, 0.677734375
11.062, 0.6875
11.082, 0.6948242188
11.102, 0.6953125
11.122, 0.69140625
11.142, 0.6870117188
11.162, 0.685546875
11.182, 0.6875
11.202, 0.689453125
11.225, 0.69140625
11.245, 0.6962890625
11.265, 0.703125
11.285, 0.70703125
11.305, 0.7045898438
11.325, 0.7021484375
11.345, 0.705078125
11.365, 0.7104492188
11.385, 0.7114257812
11.405, 0.7021484375
11.421, 0.6865234375
11.441, 0.673828125
11.461, 0.6723632812
11.481, 0.6787109375
11.501, 0.6791992188
11.521, 0.66796875
11.541, 0.6552734375
11.561, 0.654296875
11.581, 0.6689453125
11.601, 0.69140625
11.621, 0.7080078125
11.641, 0.7143554688
11.661, 0.716796875
11.681, 0.72265625
11.701, 0.7358398438
11.721, 0.75390625
11.741, 0.7729492188
11.761, 0.7822265625
11.781, 0.7763671875
11.801, 0.7568359375
11.821, 0.7329101562
11.841, 0.7133789062
11.861, 0.6982421875
11.881, 0.6865234375
11.901, 0.6796875
11.921, 0.6787109375
11.941, 0.6850585938
11.961, 0.6899414062
11.981, 0.689453125
12.001, 0.6889648438
12.021, 0.689453125
12.041, 0.6958007812
12.061, 0.6982421875
12.081, 0.6889648438
12.101, 0.6772460938
12.121, 0.673828125
12.141, 0.67578125
12.161, 0.6723632812
12.181, 0.6645507812
12.201, 0.65625
12.221, 0.6474609375
12.241, 0.642578125
12.261, 0.646484375
12.281, 0.6591796875
12.301, 0.6752929688
12.321, 0.689453125
12.341, 0.6953125
12.361, 0.6875
12.381, 0.6694335938
12.401, 0.6577148438
12.421, 0.6625976562
12.441, 0.677734375
12.461, 0.6948242188
12.481, 0.7041015625
12.501, 0.7041015625
12.521, 0.7021484375
12.541, 0.6982421875
12.561, 0.6904296875
12.581, 0.6826171875
12.601, 0.6767578125
12.621, 0.6743164062
12.641, 0.6728515625
12.661, 0.6733398438
12.681, 0.67578125
12.701, 0.6801757812
12.721, 0.6845703125
12.741, 0.6909179688
12.761, 0.6948242188
12.781, 0.6875
12.801, 0.669921875
12.821, 0.654296875
12.841, 0.6489257812
12.861, 0.6557617188
12.881, 0.6708984375
12.901, 0.6865234375
12.921, 0.6923828125
12.941, 0.6850585938
12.961, 0.6713867188
12.981, 0.6577148438
13.001, 0.6474609375
13.021, 0.6440429688
13.041, 0.642578125
13.061, 0.6396484375
13.081, 0.6430664062
13.101, 0.6572265625
13.121, 0.677734375
13.141, 0.693359375
13.161, 0.6938476562
13.181, 0.681640625
13.201, 0.6694335938
13.221, 0.6645507812
13.241, 0.6655273438
13.261, 0.666015625
13.281, 0.6630859375
13.301, 0.658203125
13.321, 0.6552734375
13.341, 0.65625
13.361, 0.6567382812
13.381, 0.6547851562
13.401, 0.6547851562
13.421, 0.658203125
13.441, 0.6625976562
13.461, 0.6674804688
13.481, 0.6689453125
13.501, 0.6669921875
13.521, 0.666015625
13.541, 0.6665039062
13.561, 0.6650390625
13.581, 0.658203125
13.601, 0.6494140625
13.621, 0.6430664062
13.641, 0.6391601562
13.661, 0.638671875
13.681, 0.6435546875
13.701, 0.6518554688
13.721, 0.66015625
13.741, 0.6669921875
13.761, 0.6752929688
13.781, 0.6831054688
13.801, 0.6865234375
13.821, 0.6870117188
13.841, 0.6850585938
13.861, 0.6860351562
13.881, 0.6870117188
13.901, 0.6826171875
13.921, 0.6752929688
13.941, 0.6684570312
13.961, 0.6645507812
13.981, 0.6630859375
14.001, 0.6640625
14.021, 0.6611328125
14.041, 0.6694335938
14.061, 0.6923828125
14.081, 0.7045898438
14.101, 0.693359375
14.121, 0.6708984375
14.141, 0.6547851562
14.161, 0.6474609375
14.181, 0.6459960938
14.201, 0.6513671875
14.221, 0.666015625
14.241, 0.6840820312
14.261, 0.6962890625
14.281, 0.6987304688
14.301, 0.6977539062
14.321, 0.6987304688
14.341, 0.6943359375
14.361, 0.6845703125
14.381, 0.6772460938
14.401, 0.6796875
14.421, 0.6923828125
14.441, 0.7055664062
14.461, 0.7080078125
14.481, 0.6982421875
14.501, 0.6850585938
14.521, 0.6728515625
14.541, 0.6650390625
14.561, 0.6635742188
14.581, 0.666015625
14.601, 0.6694335938
14.621, 0.6787109375
14.641, 0.6884765625
14.661, 0.69140625
14.681, 0.6826171875
14.701, 0.6743164062
14.721, 0.6743164062
14.741, 0.6811523438
14.761, 0.693359375
14.781, 0.7045898438
14.801, 0.7075195312
14.821, 0.7026367188
14.841, 0.6953125
14.861, 0.6904296875
14.881, 0.6879882812
14.901, 0.6870117188
14.921, 0.6918945312
14.941, 0.701171875
14.961, 0.705078125
14.981, 0.7016601562
15.001, 0.6938476562
15.021, 0.6850585938
15.041, 0.6787109375
15.061, 0.6728515625
15.081, 0.6665039062
15.101, 0.6611328125
15.121, 0.6616210938
15.141, 0.662109375
15.161, 0.6606445312
15.181, 0.6625976562
15.201, 0.6713867188
15.221, 0.68359375
15.241, 0.6938476562
15.261, 0.6962890625
15.281, 0.6977539062
15.301, 0.7036132812
15.321, 0.7075195312
15.341, 0.7065429688
15.361, 0.69921875
15.381, 0.6850585938
15.401, 0.66796875
15.421, 0.6538085938
15.441, 0.6484375
15.461, 0.6513671875
15.481, 0.6572265625
15.501, 0.6586914062
15.521, 0.654296875
15.541, 0.650390625
15.561, 0.6489257812
15.581, 0.642578125
15.601, 0.6303710938
15.621, 0.6196289062
15.641, 0.6142578125
15.661, 0.6123046875
15.681, 0.6118164062
15.701, 0.611328125
15.721, 0.6123046875
15.741, 0.6171875
15.761, 0.6225585938
15.781, 0.6245117188
15.801, 0.6254882812
15.821, 0.6284179688
15.841, 0.6376953125
15.861, 0.6552734375
15.881, 0.677734375
15.901, 0.693359375
15.921, 0.6958007812
15.941, 0.6918945312
15.961, 0.6860351562
15.981, 0.6772460938
16.001, 0.6708984375
16.021, 0.6713867188
16.041, 0.6728515625
16.061, 0.6674804688
16.081, 0.654296875
16.101, 0.6440429688
16.121, 0.6416015625
16.141, 0.6459960938
16.161, 0.6538085938
16.181, 0.66015625
16.201, 0.6655273438
16.221, 0.6674804688
16.241, 0.6689453125
16.261, 0.67578125
16.281, 0.6865234375
16.301, 0.6953125
16.321, 0.6958007812
16.341, 0.6831054688
16.361, 0.6665039062
16.381, 0.6552734375
16.401, 0.6484375
16.421, 0.6381835938
16.441, 0.6274414062
16.461, 0.6279296875
16.481, 0.638671875
16.501, 0.6484375
16.521, 0.66015625
16.541, 0.6845703125
16.561, 0.7094726562
16.581, 0.71484375
16.601, 0.7026367188
16.622, 0.6865234375
16.642, 0.6689453125
16.662, 0.6528320312
16.682, 0.6508789062
16.702, 0.6625976562
16.722, 0.6708984375
16.742, 0.6665039062
16.762, 0.6591796875
16.782, 0.658203125
16.802, 0.6577148438
16.821, 0.654296875
16.841, 0.6533203125
16.861, 0.6572265625
16.881, 0.658203125
16.901, 0.65625
16.921, 0.6596679688
16.941, 0.6635742188
16.961, 0.6635742188
16.981, 0.6591796875
17.001, 0.6484375
17.021, 0.6352539062
17.041, 0.625
17.061, 0.6220703125
17.081, 0.6259765625
17.101, 0.6323242188
17.121, 0.64453125
17.141, 0.6586914062
17.161, 0.6616210938
17.181, 0.6533203125
17.201, 0.6416015625
17.221, 0.6279296875
17.241, 0.6157226562
17.261, 0.6137695312
17.281, 0.6240234375
17.301, 0.63671875
17.321, 0.6440429688
17.341, 0.6474609375
17.361, 0.6469726562
17.381, 0.6440429688
17.401, 0.6430664062
17.421, 0.6474609375
17.441, 0.6552734375
17.461, 0.6591796875
17.481, 0.6577148438
17.501, 0.6596679688
17.521, 0.6586914062
17.541, 0.6489257812
17.561, 0.6401367188
17.581, 0.6372070312
17.601, 0.6362304688
17.621, 0.63671875
17.641, 0.6376953125
17.661, 0.634765625
17.681, 0.6259765625
17.701, 0.619140625
17.721, 0.619140625
17.741, 0.625
17.761, 0.6323242188
17.781, 0.638671875
17.801, 0.6430664062
17.821, 0.6459960938
17.841, 0.6508789062
17.861, 0.6552734375
17.881, 0.6547851562
17.901, 0.6494140625
17.921, 0.64453125
17.941, 0.6474609375
17.961, 0.6596679688
17.981, 0.6694335938
18.001, 0.6694335938
18.021, 0.6635742188
18.041, 0.6572265625
18.061, 0.6591796875
