time,rollRate
0.2, -0.9599609375
0.22, -0.9663085938
0.24, -0.9560546875
0.26, -0.94921875
0.28, -0.9599609375
0.3, -0.9750976562
0.32, -0.9755859375
0.34, -0.9672851562
0.36, -0.9711914062
0.38, -0.9887695312
0.4, -1
0.42, -0.990234375
0.44, -0.9702148438
0.46, -0.96484375
0.48, -0.9780273438
0.5, -0.9907226562
0.52, -0.98828125
0.54, -0.9790039062
0.56, -0.9770507812
0.58, -0.986328125
0.6, -0.9946289062
0.62, -0.9873046875
0.64, -0.9731445312
0.66, -0.9653320312
0.68, -0.9638671875
0.7, -0.958984375
0.72, -0.9462890625
0.74, -0.939453125
0.76, -0.94921875
0.78, -0.9677734375
0.8, -0.9755859375
0.82, -0.966796875
0.84, -0.9584960938
0.86, -0.962890625
0.88, -0.9770507812
0.9, -0.9833984375
0.92, -0.9721679688
0.94, -0.95703125
0.96, -0.9555664062
0.98, -0.9697265625
1, -0.9838867188
1.02, -0.9877929688
1.04, -0.990234375
1.06, -1.001953125
1.08, -1.017578125
1.1, -1.015625
1.12, -0.9946289062
1.14, -0.9721679688
1.16, -0.9633789062
1.18, -0.966796875
1.2, -0.9721679688
1.22, -0.9697265625
1.24, -0.9653320312
1.26, -0.9721679688
1.28, -0.986328125
1.3, -0.9931640625
1.32, -0.9887695312
1.34, -0.9877929688
1.36, -0.99609375
1.38, -1
1.41, -0.9892578125
1.43, -0.9716796875
1.45, -0.9614257812
1.47, -0.9580078125
1.49, -0.9506835938
1.51, -0.9360351562
1.53, -0.9252929688
1.55, -0.9262695312
1.57, -0.9389648438
1.59, -0.9487304688
1.61, -0.9482421875
1.63, -0.9448242188
1.65, -0.94921875
1.67, -0.9584960938
1.69, -0.9614257812
1.71, -0.9560546875
1.73, -0.951171875
1.75, -0.951171875
1.77, -0.9584960938
1.79, -0.96484375
1.81, -0.9663085938
1.83, -0.9711914062
1.85, -0.9853515625
1.87, -0.9985351562
1.89, -0.9985351562
1.91, -0.9868164062
1.93, -0.9760742188
1.95, -0.9741210938
1.97, -0.9780273438
1.99, -0.9760742188
2.01, -0.9643554688
2.03, -0.95703125
2.05, -0.9638671875
2.07, -0.974609375
