time, value
1.286, 22.88125038
1.486, 22.85000038
2.086, 22.88125038
2.486, 22.78750038
2.686, 22.75625038
3.086, 22.78750038
3.886, 22.81875038
4.486, 22.75625038
4.886, 22.78750038
5.286, 22.75625038
5.486, 22.66250038
5.686, 22.56875038
5.886, 22.50625038
6.086, 22.44375038
6.286, 22.41250038
6.486, 22.44375038
6.686, 22.47500038
6.886, 22.50625038
7.086, 22.53750038
7.286, 22.56875038
7.486, 22.60000038
7.686, 22.63125038
7.886, 22.66250038
8.086, 22.69375038
8.886, 22.75625038
10.686, 22.78750038
11.286, 22.81875038
11.486, 22.78750038
13.086, 22.81875038
13.486, 22.78750038
13.886, 22.75625038
14.086, 22.78750038
14.686, 22.81875038
14.886, 22.78750038
15.086, 22.81875038
15.686, 22.85000038
15.886, 22.81875038
16.286, 22.85000038
16.486, 22.81875038
17.486, 22.78750038
19.286, 22.75625038
20.086, 22.72500038
20.886, 22.75625038
21.686, 22.72500038
21.886, 22.75625038
22.686, 22.72500038
24.886, 22.72500038
25.686, 22.69375038
26.486, 22.72500038
27.686, 22.75625038
27.886, 22.72500038
28.886, 22.69375038
29.286, 22.72500038
29.486, 22.69375038
31.686, 22.69375038
32.286, 22.66250038
34.086, 22.69375038
34.286, 22.66250038
34.486, 22.69375038
34.686, 22.66250038
34.886, 22.60000038
35.686, 22.63125038
37.086, 22.66250038
37.286, 22.56875038
37.486, 22.60000038
37.686, 22.63125038
38.086, 22.69375038
38.286, 22.72500038
38.886, 22.75625038
39.086, 22.78750038
39.286, 22.81875038
39.486, 22.85000038
39.686, 22.88125038
39.886, 22.91250038
40.086, 22.97500038
40.686, 23.00625038
40.886, 23.03750038
41.086, 23.06875038
41.286, 23.10000038
41.886, 23.06875038
42.086, 23.10000038
42.486, 23.13125038
42.886, 23.16250038
43.686, 23.19375038
44.286, 23.13125038
44.686, 23.16250038
45.486, 23.19375038
46.086, 23.22500038
46.486, 23.25625038
47.086, 23.28750038
47.686, 23.31875038
47.886, 23.28750038
48.086, 23.31875038
48.686, 23.35000038
49.486, 23.38125038
49.686, 23.35000038
49.886, 23.38125038
51.486, 23.41250038
52.086, 23.44375038
53.686, 23.41250038
53.886, 23.44375038
54.086, 23.41250038
54.686, 23.44375038
54.886, 23.41250038
55.086, 23.44375038
55.686, 23.47500038
55.886, 23.44375038
56.086, 23.47500038
56.886, 23.50625038
57.286, 23.53750038
57.886, 23.56875038
58.286, 23.60000038
59.086, 23.63125038
59.686, 23.66250038
60.086, 23.69375038
60.286, 23.81875038
60.486, 23.88125038
60.686, 23.91250038
60.886, 23.97500038
61.286, 24.00625038
61.486, 24.03750038
62.286, 24.06875038
64.486, 24.06875038
65.686, 24.10000038
67.886, 24.10000038
68.286, 24.06875038
68.686, 24.10000038
69.286, 24.13125038
69.686, 24.10000038
70.886, 24.06875038
71.286, 24.03750038
72.686, 24.00625038
72.886, 23.97500038
74.086, 24.00625038
74.486, 23.97500038
75.486, 24.00625038
76.086, 24.03750038
76.486, 24.00625038
77.086, 24.03750038
77.486, 24.00625038
77.886, 24.03750038
78.086, 24.00625038
79.286, 23.97500038
79.886, 23.94375038
80.486, 23.91250038
80.886, 23.88125038
81.686, 23.91250038
82.486, 23.88125038
82.686, 23.91250038
83.286, 23.94375038
84.086, 23.91250038
84.286, 23.94375038
84.486, 23.91250038
84.686, 23.88125038
85.486, 23.85000038
86.486, 23.81875038
86.686, 23.78750038
86.886, 23.75625038
87.486, 23.72500038
87.886, 23.69375038
88.086, 23.66250038
88.486, 23.63125038
88.886, 23.60000038
89.486, 23.56875038
89.686, 23.53750038
91.086, 23.56875038
91.286, 23.60000038
91.486, 23.63125038
91.886, 23.66250038
92.086, 23.69375038
92.886, 23.72500038
93.086, 23.69375038
93.286, 23.72500038
93.886, 23.75625038
94.486, 23.72500038
94.686, 23.69375038
95.086, 23.66250038
95.486, 23.63125038
95.686, 23.60000038
96.286, 23.56875038
96.686, 23.53750038
97.086, 23.50625038
97.286, 23.47500038
97.886, 23.44375038
99.286, 23.47500038
99.886, 23.50625038
100.286, 23.53750038
100.486, 23.50625038
100.686, 23.47500038
101.086, 23.44375038
101.886, 23.38125038
102.286, 23.35000038
102.486, 23.28750038
102.886, 23.25625038
103.086, 23.28750038
103.286, 23.25625038
103.486, 23.28750038
103.686, 23.25625038
103.886, 23.22500038
104.686, 23.25625038
104.886, 23.28750038
105.086, 23.25625038
105.286, 23.22500038
105.486, 23.19375038
106.286, 23.22500038
106.886, 23.25625038
107.086, 23.22500038
107.486, 23.19375038
107.886, 23.16250038
110.086, 23.19375038
111.286, 23.22500038
111.886, 23.25625038
112.286, 23.22500038
113.286, 23.19375038
113.686, 23.16250038
114.286, 23.13125038
114.886, 23.16250038
115.886, 23.13125038
116.286, 23.16250038
116.686, 23.13125038
116.886, 23.10000038
117.086, 23.06875038
117.486, 23.03750038
117.686, 23.00625038
118.286, 22.97500038
120.486, 22.97500038
121.286, 23.00625038
121.486, 22.97500038
121.886, 23.03750038
122.086, 23.06875038
122.486, 23.10000038
122.686, 23.13125038
123.086, 23.16250038
123.686, 23.19375038
124.086, 23.22500038
124.486, 23.19375038
125.286, 23.16250038
125.686, 23.13125038
126.086, 23.10000038
126.286, 23.06875038
127.086, 23.03750038
127.886, 22.97500038
128.286, 22.94375038
128.486, 22.91250038
128.886, 22.94375038
129.286, 22.97500038
130.086, 23.00625038
131.486, 22.97500038
131.886, 22.94375038
132.286, 22.91250038
132.486, 22.88125038
132.686, 22.85000038
133.086, 22.81875038
133.486, 22.85000038
133.686, 22.88125038
134.086, 22.91250038
134.286, 22.94375038
134.486, 22.97500038
135.686, 22.94375038
136.086, 22.91250038
136.286, 22.88125038
136.486, 22.85000038
136.686, 22.81875038
137.086, 22.78750038
137.686, 22.75625038
138.086, 22.78750038
138.286, 22.81875038
138.886, 22.85000038
139.286, 22.88125038
139.686, 22.91250038
140.486, 22.94375038
140.886, 22.97500038
141.486, 22.94375038
141.686, 22.91250038
141.886, 22.94375038
