time,torque
0.405, 0
0.509, 0
0.618, 0
0.725, 0
0.834, 0
0.941, 0
1.047, 0
1.159, 0
1.268, 0
1.378, 0
1.487, 0
1.596, 0
1.703, 0
1.812, 0
1.921, 0
2.03, 0
2.137, 0
2.246, 0
2.355, 0
2.465, 0
2.571, 0
2.675, 0
2.784, 0
2.891, 0
3, 0
3.109, 0
3.218, 0
3.328, 0
3.434, 0
3.541, 0
3.647, 0
3.756, 0
3.866, 0
3.972, 0
4.082, 0
4.191, 0
4.297, 0
4.404, 0
4.51, 0
4.62, 0
4.729, 0
4.835, 0
4.945, 0
5.054, 0
5.163, 0
5.272, 0
5.382, 0
5.488, 0
5.597, 0
5.707, 0
5.813, 0
5.925, 0
6.032, 0
6.141, 0
6.25, 0
6.357, 0
6.463, 0
6.57, 0
6.676, 0
6.785, 0
6.895, 0
7.004, 0
7.113, 0
7.223, 0
7.326, 0
7.436, 0
7.542, 0
7.651, 0
7.758, 0
7.865, 0
7.976, 0
8.086, 0
8.192, 0
8.299, 0
8.408, 0
8.512, 0
8.621, 0
8.73, 0
8.837, 0
8.943, 0
9.053, 0
9.162, 0
9.268, 0
9.375, 0
9.484, 0
9.593, 0
9.7, 0
9.806, 0
9.913, 0
10.022, 0
10.129, 0
10.238, 0
10.347, 0
10.456, 0
10.563, 0
10.667, 0
10.776, 0
10.88, 0
10.986, 0
11.093, 0
11.199, 0
11.308, 0
11.415, 0
11.522, 0
11.631, 0
11.74, 0
11.849, 0
11.958, 0
12.062, 0
12.172, 0
12.278, 0
12.387, 0
12.494, 0
12.601, 0
12.712, 0
12.822, 0
12.931, 0
13.04, 0
13.149, 0
13.256, 0
13.365, 0
13.474, 0
13.584, 0
13.69, 0
13.799, 0
13.909, 0
14.018, 0
14.124, 0
14.228, 0
14.337, 0
14.444, 0
14.553, 0
14.662, 0
14.772, 0
14.881, 0
14.987, 0
15.094, 0
15.2, 0
15.31, 0
15.419, 0
15.526, 0
15.635, 0
15.744, 0
15.85, 0
15.957, 0
16.064, 0
16.173, 0
16.282, 0
16.389, 0
16.498, 0
16.607, 0
16.716, 0
16.826, 0
16.935, 0
17.041, 0
17.151, 0
17.26, 0
17.367, 0
17.478, 0
17.585, 0
17.694, 0
17.804, 0
17.91, 0
18.016, 0
18.123, 0
18.23, 0
18.339, 0
18.448, 0
18.557, 0
18.666, 0
18.776, 0
18.879, 0
18.989, 0
19.095, 0
19.205, 0
19.311, 0
19.418, 0
19.53, 0
19.639, 0
19.745, 0
19.852, 0
19.961, 0
20.068, 0
20.174, 0
20.283, 0
20.393, 0
20.502, 0
20.611, 0
20.72, 0
20.83, 0
20.936, 0
21.045, 0
21.155, 0
21.264, 0
21.373, 0
21.48, 0
21.589, 0
21.698, 0
21.805, 0
21.908, 0
22.018, 0
22.124, 0
22.233, 0
22.343, 0
22.452, 0
22.561, 0
22.668, 0
22.774, 0
22.881, 0
22.99, 0
23.099, 0
23.206, 0
23.315, 0
23.424, 0
23.531, 0
23.638, 0
23.744, 0
23.853, 0
23.96, 0
24.069, 0
24.178, 0
24.287, 0
24.397, 0
24.506, 0
24.615, 0
24.724, 0
24.831, 0
24.94, 0
25.049, 0
25.159, 0
25.265, 0
25.374, 0
25.484, 0
25.593, 0
25.697, 0
25.803, 0
25.912, 0
26.019, 0
26.128, 0
26.235, 0
26.347, 0
26.456, 0
26.563, 0
26.669, 0
26.776, 0
26.885, 0
26.994, 0
27.101, 0
27.21, 0
27.319, 0
27.428, 0
27.538, 0
27.647, 0
27.753, 0
27.863, 0
27.972, 0
28.079, 0
28.182, 0
28.291, 0
28.401, 0
28.51, 0
28.617, 0
28.726, 0
28.835, 0
28.942, 0
29.051, 0
29.16, 0
29.269, 0
29.378, 0
29.485, 0
29.591, 0
29.701, 0
29.81, 0
29.919, 0
30.023, 0
30.132, 0
30.242, 0
30.348, 0
30.455, 0
30.561, 0
30.668, 0
30.777, 0
30.886, 0
30.995, 0
31.105, 0
31.214, 0
31.318, 0
31.427, 0
31.534, 0
31.643, 0
31.749, 0
31.856, 0
31.968, 0
32.077, 0
32.186, 0
32.295, 0
32.405, 0
32.511, 0
32.62, 0
32.73, 0
32.839, 0
32.946, 0
33.055, 0
33.164, 0
33.273, 0
33.38, 0
33.483, 0
33.593, 0
33.699, 0
33.809, 0
33.918, 0
34.025, 0
34.136, 0
34.243, 0
34.347, 0
34.456, 0
34.562, 0
34.672, 0
34.781, 0
34.89, 0
34.999, 0
35.106, 0
35.212, 0
35.322, 0
35.426, 0
35.535, 0
35.644, 0
35.753, 0
35.862, 0
35.972, 0
36.081, 0
36.19, 0
36.297, 0
36.406, 0
36.515, 0
36.622, 0
36.734, 0
36.84, 0
36.949, 0
37.059, 0
37.166, 0
37.272, 0
37.378, 0
37.485, 0
37.594, 0
37.703, 0
37.813, 0
37.922, 0
38.031, 0
38.135, 0
38.244, 0
38.351, 0
38.46, 0
38.567, 0
38.673, 0
38.785, 0
38.894, 0
39.001, 0
39.107, 0
39.216, 0
39.32, 0
39.429, 0
39.539, 0
39.648, 0
39.757, 0
39.866, 0
39.976, 0
40.085, 0
40.191, 0
40.301, 0
40.41, 0
40.519, 0
40.629, 0
40.735, 0
40.844, 0
40.954, 0
41.06, 0
41.164, 0
41.273, 0
41.38, 0
41.489, 0
41.598, 0
41.707, 0
41.817, 0
41.923, 0
42.03, 0
42.136, 0
42.245, 0
42.355, 0
42.461, 0
42.57, 0
42.68, 0
42.786, 0
42.893, 0
43.002, 0
43.108, 0
43.215, 0
43.324, 0
43.434, 0
43.543, 0
43.652, 0
43.761, 0
43.871, 0
43.98, 0
44.086, 0
44.196, 0
44.305, 0
44.414, 0
44.52, 0
44.63, 0
44.739, 0
44.848, 0
44.952, 0
45.059, 0
45.168, 0
45.275, 0
45.384, 0
45.49, 0
45.602, 0
45.711, 0
45.818, 0
45.924, 0
46.031, 0
46.141, 0
46.249, 0
46.356, 0
46.465, 0
46.574, 0
46.681, 0
46.787, 0
46.894, 0
47.003, 0
47.113, 0
47.219, 0
47.328, 0
47.438, 0
47.547, 0
47.656, 0
47.765, 0
47.872, 0
47.981, 0
48.09, 0
48.2, 0
48.309, 0
48.415, 0
48.525, 0
48.634, 0
48.74, 0
48.844, 0
48.953, 0
49.06, 0
49.167, 0
49.279, 0
49.388, 0
49.497, 0
49.604, 0
49.71, 0
49.817, 0
49.923, 0
50.032, 0
50.142, 0
50.251, 0
50.36, 0
50.469, 0
50.573, 0
50.682, 0
50.789, 0
50.895, 0
51.005, 0
51.111, 0
51.223, 0
51.332, 0
51.442, 0
51.551, 0
51.66, 0
51.767, 0
51.876, 0
51.985, 0
52.094, 0
52.201, 0
52.31, 0
52.419, 0
52.529, 0
52.635, 0
52.739, 0
52.848, 0
52.955, 0
53.064, 0
53.173, 0
53.28, 0
53.392, 0
53.498, 0
53.602, 0
53.711, 0
53.82, 24
53.929, 18
54.038, 11
54.145, 17
54.257, 19
54.366, 19
54.475, 20
54.585, 20
54.694, 22
54.801, 23
54.892, 23
55.001, 23
55.107, 23
55.216, 23
55.328, 23
55.438, 23
55.547, 23
55.656, 22
55.766, 21
55.875, 20
55.984, 19
56.094, 17
56.203, 17
56.312, 16
56.418, 16
56.527, 17
56.634, 18
56.743, 20
56.85, 21
56.954, 25
57.063, 34
