time,yawRate
0.2, 0.2390136719
0.22, 0.2386474609
0.24, 0.2359619141
0.26, 0.234375
0.28, 0.2366943359
0.3, 0.240234375
0.32, 0.2426757812
0.34, 0.2475585938
0.36, 0.2583007812
0.38, 0.2707519531
0.4, 0.2783203125
0.42, 0.2819824219
0.44, 0.2829589844
0.46, 0.275390625
0.48, 0.2573242188
0.5, 0.2387695312
0.52, 0.2276611328
0.54, 0.2281494141
0.56, 0.2379150391
0.58, 0.2485351562
0.6, 0.2548828125
0.62, 0.2575683594
0.64, 0.2561035156
0.66, 0.2493896484
0.68, 0.2432861328
0.7, 0.2434082031
0.72, 0.2467041016
0.74, 0.2481689453
0.76, 0.2493896484
0.78, 0.2531738281
0.8, 0.2585449219
0.82, 0.263671875
0.84, 0.2622070312
0.86, 0.251953125
0.88, 0.2414550781
0.9, 0.2364501953
0.92, 0.2349853516
0.94, 0.2335205078
0.96, 0.2333984375
0.98, 0.234375
1, 0.2358398438
1.02, 0.2347412109
1.04, 0.2314453125
1.06, 0.2319335938
1.08, 0.2368164062
1.1, 0.2398681641
1.12, 0.23828125
1.14, 0.2380371094
1.16, 0.2432861328
1.18, 0.2507324219
1.2, 0.2548828125
1.22, 0.2590332031
1.24, 0.2648925781
1.26, 0.2670898438
1.28, 0.2644042969
1.3, 0.2626953125
1.32, 0.2634277344
1.34, 0.2634277344
1.36, 0.2614746094
1.38, 0.2590332031
1.41, 0.2565917969
1.43, 0.251953125
1.45, 0.2403564453
1.47, 0.2258300781
1.49, 0.2170410156
1.51, 0.2172851562
1.53, 0.2233886719
1.55, 0.2282714844
1.57, 0.2293701172
1.59, 0.2319335938
1.61, 0.2370605469
1.63, 0.2427978516
1.65, 0.2496337891
1.67, 0.2570800781
1.69, 0.2622070312
1.71, 0.259765625
1.73, 0.2512207031
1.75, 0.2401123047
1.77, 0.2293701172
1.79, 0.2257080078
1.81, 0.2349853516
1.83, 0.2534179688
1.85, 0.265625
1.87, 0.2600097656
1.89, 0.2458496094
1.91, 0.2322998047
1.93, 0.2220458984
1.95, 0.21484375
1.97, 0.2086181641
1.99, 0.2082519531
2.01, 0.2174072266
2.03, 0.2321777344
2.05, 0.2436523438
2.07, 0.2485351562
2.09, 0.2486572266
2.11, 0.2443847656
2.13, 0.236328125
2.15, 0.228515625
2.17, 0.2294921875
2.19, 0.2365722656
2.21, 0.2434082031
2.23, 0.2491455078
2.25, 0.2548828125
2.27, 0.2602539062
2.29, 0.2629394531
2.31, 0.2595214844
2.33, 0.2487792969
2.35, 0.2355957031
2.37, 0.2272949219
2.39, 0.2282714844
2.41, 0.2374267578
2.43, 0.2470703125
2.45, 0.2467041016
2.47, 0.236328125
2.49, 0.2255859375
2.51, 0.2213134766
2.53, 0.224609375
2.55, 0.228515625
2.57, 0.2297363281
2.59, 0.2320556641
2.615, 0.2369384766
2.635, 0.2443847656
2.655, 0.2531738281
2.675, 0.2604980469
2.695, 0.2609863281
2.715, 0.2585449219
2.735, 0.2548828125
2.755, 0.2467041016
2.775, 0.2348632812
2.795, 0.2220458984
2.81, 0.2127685547
2.83, 0.2094726562
2.85, 0.2144775391
2.87, 0.2244873047
2.89, 0.2337646484
2.91, 0.2408447266
2.93, 0.2438964844
2.95, 0.2462158203
2.97, 0.2492675781
2.99, 0.2521972656
3.01, 0.2565917969
3.03, 0.2629394531
3.05, 0.2666015625
3.07, 0.2639160156
3.09, 0.25390625
3.11, 0.2449951172
3.13, 0.2424316406
3.15, 0.2412109375
3.17, 0.232421875
3.19, 0.21875
3.21, 0.2111816406
3.23, 0.2138671875
3.25, 0.2238769531
3.27, 0.2325439453
3.29, 0.2366943359
3.31, 0.2370605469
3.33, 0.2346191406
3.35, 0.2313232422
3.37, 0.2318115234
3.39, 0.2352294922
3.414, 0.2369384766
3.434, 0.2329101562
3.454, 0.2214355469
3.474, 0.2135009766
3.494, 0.2138671875
3.514, 0.2159423828
3.534, 0.2144775391
3.554, 0.2108154297
3.574, 0.2100830078
3.594, 0.2178955078
3.61, 0.2340087891
3.63, 0.25
3.65, 0.2604980469
3.67, 0.2619628906
3.69, 0.2543945312
3.71, 0.2445068359
3.73, 0.2409667969
3.75, 0.2435302734
3.77, 0.2454833984
3.79, 0.244140625
3.81, 0.2430419922
3.83, 0.2442626953
3.85, 0.2514648438
3.87, 0.2646484375
3.89, 0.2746582031
3.91, 0.2775878906
3.93, 0.2807617188
3.95, 0.28515625
3.97, 0.2836914062
3.99, 0.2770996094
4.01, 0.2670898438
4.03, 0.25390625
4.05, 0.23828125
4.07, 0.2227783203
4.09, 0.2156982422
4.11, 0.2174072266
4.13, 0.2213134766
4.15, 0.2230224609
4.17, 0.2221679688
4.19, 0.2200927734
4.21, 0.2188720703
4.23, 0.22265625
4.25, 0.2312011719
4.27, 0.2438964844
4.29, 0.2573242188
4.31, 0.2646484375
4.33, 0.2614746094
4.35, 0.2467041016
4.37, 0.2281494141
4.39, 0.2144775391
4.412, 0.2071533203
4.432, 0.2071533203
4.452, 0.2135009766
4.472, 0.2202148438
4.492, 0.2248535156
4.512, 0.2325439453
4.532, 0.2464599609
4.552, 0.2592773438
4.572, 0.2673339844
4.592, 0.2724609375
4.62, 0.2761230469
4.64, 0.2761230469
4.66, 0.2705078125
4.68, 0.2592773438
4.7, 0.2435302734
4.72, 0.2290039062
4.74, 0.2186279297
4.76, 0.2115478516
4.78, 0.2080078125
4.8, 0.208984375
4.821, 0.2103271484
4.841, 0.2067871094
4.861, 0.2021484375
4.881, 0.2043457031
4.901, 0.2127685547
4.921, 0.2200927734
4.941, 0.2261962891
4.961, 0.2322998047
4.981, 0.2329101562
