time,itow,lat,lon,alt,speed,accuracy
0.309, 563479960, 40.6153576, -3.5836855, 701.1123009, 0.969, 3.890
0.409, 563480060, 40.6153565, -3.5836848, 701.0766754, 0.951, 3.900
0.509, 563480160, 40.6153558, -3.5836844, 701.1591818, 0.941, 3.910
0.609, 563480260, 40.6153556, -3.5836843, 701.2856019, 0.937, 3.910
0.709, 563480360, 40.6153567, -3.5836848, 701.3659702, 0.931, 3.910
0.809, 563480460, 40.6153565, -3.5836845, 701.4896659, 0.925, 3.920
0.909, 563480560, 40.6153562, -3.5836841, 701.6300519, 0.928, 3.920
1.009, 563480660, 40.6153557, -3.5836836, 701.8042926, 0.927, 3.931
1.109, 563480760, 40.6153555, -3.5836831, 701.9662213, 0.934, 3.930
1.209, 563480860, 40.6153554, -3.5836831, 702.1055289, 0.941, 3.930
1.309, 563480960, 40.6153551, -3.5836834, 702.2616788, 0.938, 3.930
1.409, 563481060, 40.6153544, -3.5836841, 702.4455641, 0.950, 3.930
1.509, 563481160, 40.6153543, -3.5836847, 702.5505198, 0.963, 3.930
1.609, 563481260, 40.6153533, -3.5836846, 702.6806461, 0.961, 3.936
1.709, 563481360, 40.6153530, -3.5836842, 702.7656049, 0.946, 3.940
1.809, 563481460, 40.6153528, -3.5836839, 702.8323805, 0.931, 3.944
1.909, 563481560, 40.6153525, -3.5836837, 702.9168820, 0.924, 3.950
2.009, 563481660, 40.6153527, -3.5836837, 703.0252333, 0.929, 3.950
2.109, 563481760, 40.6153516, -3.5836831, 703.0719500, 0.920, 3.960
2.209, 563481860, 40.6153502, -3.5836823, 703.1132520, 0.911, 3.950
2.309, 563481960, 40.6153488, -3.5836815, 703.1677215, 0.916, 3.950
2.409, 563482060, 40.6153474, -3.5836811, 703.2548806, 0.910, 3.951
2.509, 563482160, 40.6153474, -3.5836805, 703.2898836, 0.909, 3.940
2.609, 563482260, 40.6153451, -3.5836801, 703.5229410, 0.951, 3.950
2.709, 563482360, 40.6153460, -3.5836810, 703.6164829, 0.925, 3.940
2.809, 563482460, 40.6153457, -3.5836805, 703.7830281, 0.927, 3.950
2.909, 563482560, 40.6153454, -3.5836802, 703.9661463, 0.941, 3.950
3.009, 563482660, 40.6153456, -3.5836800, 704.1315510, 0.950, 3.950
